Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
8/02/2021 19:58:45,Sí,Grado superior,Tecnología,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,No lo sé,"No, antes la usaba y ahora la sigo usando."
8/02/2021 20:31:33,Sí,Grado superior,Tecnología,Mujer,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 20:59:39,Sí,"Grado medio, Grado superior",,Mujer,45-55,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Classroom ,Ninguno,"No, antes la usaba y ahora la sigo usando."
8/02/2021 21:04:12,Sí,Grado superior,Ciencias Sociales,Mujer,Más de 55,más de 25 años,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería, Un grupo para el curso completo (profesores y estudiantes)",Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
8/02/2021 21:08:52,Sí,Grado superior,Tecnología,Hombre,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
8/02/2021 21:11:09,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,Bots que comuniquen las notas,"No, antes la usaba y ahora la sigo usando."
8/02/2021 21:11:27,Sí,"Grado medio, Grado superior",Tecnología,Hombre,35-45,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,Bots que comuniquen las notas,"No, antes la usaba y ahora la sigo usando."
8/02/2021 21:21:29,Sí,"Grado medio, Grado superior",Tecnología,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, Discord, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 21:21:40,No,,,,,,,,,
8/02/2021 21:23:52,Sí,Grado medio,Tecnología,Mujer,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
