AgendaBot,ClassMaterialBot,Age,Experience,FAQBot,GradesBot,Gender,"PostCOVID changes","Marca temporal",MessagingPlatformNone,MessagingPlatformOther,MessagingPlatformProvided,MessagingPlatformSlack,MessagingPlatformTelegram,MessagingPlatformWhatsApp,OtherBot,Sector,"Messaging Organization",Degrees,Discipline
Yes,Yes,"> 55","> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","8/02/2021 13:30:30",No,No,No,No,Yes,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
Yes,No,35-45,"16-25 years",Yes,No,"PNTS","No, I did use it before, and use it now","8/02/2021 13:38:20",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,Yes,35-45,"06-15 years",Yes,No,Male,"Yes, I didn't use any messaging app before, but do use it now","8/02/2021 13:46:16",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course","Undergrad, Master, Non-official degree",Engineering
Yes,No,45-55,"> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","8/02/2021 14:04:00",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
No,Yes,45-55,"> 25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 14:08:46",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,Yes,"> 55","> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","8/02/2021 15:09:08",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
Yes,No,25-35,"0-05 years",No,No,Female,"Yes, I use a safer messaging app now","8/02/2021 15:23:24",No,No,Yes,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Biomedicine
No,No,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","8/02/2021 15:25:23",No,No,No,No,Yes,No,Yes,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,Yes,35-45,"16-25 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","8/02/2021 15:43:54",No,Yes,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,No,25-35,"0-05 years",Yes,No,Female,"No, I did use it before, and use it now","8/02/2021 16:36:35",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
