Agenda,ClassMaterial,Age,Experience,FAQ,Grades,Gender,"PostCOVID changes","Marca temporal",None,Other,OtherBot,Provided,Sector,Slack,"Messaging Organization",Telegram,Degrees,WhatsApp,Discipline
Yes,Yes,"Más de 55","más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 13:30:30",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"15-25 años",Yes,No,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 13:38:20",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 13:46:16",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,No,45-55,"más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 14:04:00",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
No,Yes,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 14:08:46",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,"Más de 55","más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 15:09:08",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,"Ciencias Sociales"
Yes,No,25-35,"0-5 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 15:23:24",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,Biosanitaria
No,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 15:25:23",No,No,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,35-45,"15-25 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 15:43:54",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
Yes,No,25-35,"0-5 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 16:36:35",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 17:07:57",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,Yes,"Ciencias Sociales"
Yes,No,45-55,"15-25 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 17:34:17",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
Yes,No,25-35,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 17:42:23",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",Yes,"Grado, Máster",No,Ingeniería
Yes,No,"Más de 55","15-25 años",No,No,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 18:18:38",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
No,No,"Más de 55","más de 25 años",Yes,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 18:24:38",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",Yes,"Ciencias Sociales"
Yes,Yes,"Más de 55","15-25 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 18:44:11",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,"Ciencias Sociales"
No,No,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:00:09",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,Ingeniería
Yes,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:07:53",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado, Títulos propios",Yes,Ingeniería
Yes,No,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:31:17",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,45-55,"más de 25 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 19:32:21",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
No,No,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:49:35",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,45-55,"más de 25 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 19:57:10",Yes,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,Yes,45-55,"más de 25 años",No,Yes,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 20:12:47",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster, Doctorado, Títulos propios",No,Ingeniería
Yes,No,25-35,"5-15 años",Yes,No,Mujer,"No, no la usaba antes ni ahora.","8/02/2021 21:21:56",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
Yes,Yes,35-45,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 21:44:06",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 21:53:08",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"15-25 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 23:33:57",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",Yes,Ingeniería
No,Yes,"Más de 55","15-25 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 8:44:51",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",Yes,Ingeniería
Yes,Yes,35-45,"0-5 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 10:12:33",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ciencias
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 12:03:26",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
Yes,No,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 14:59:25",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Ingeniería
No,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 15:06:12",No,Yes,Yes,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
No,No,35-45,"5-15 años",Yes,No,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 15:09:03",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,45-55,"5-15 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","9/02/2021 15:13:43",No,Yes,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,No,Ingeniería
No,No,25-35,"5-15 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 15:13:57",No,Yes,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado, Títulos propios",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 15:15:33",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,45-55,"15-25 años",No,No,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 15:43:18",Yes,No,Yes,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 16:06:33",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,No,45-55,"15-25 años",Yes,Yes,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","9/02/2021 16:28:27",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Doctorado",No,Ingeniería
Yes,No,25-35,"5-15 años",No,No,Mujer,"No, no la usaba antes ni ahora.","9/02/2021 16:32:35",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 17:38:40",No,No,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,Yes,Ingeniería
Yes,No,25-35,"0-5 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 18:19:45",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Ingeniería
